DayOfWeek,FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,CRSDepTime,CRSArrTime,CRSElapsedTime,Distance,ArrDelay,DelayFactor
2,2010-04-06,MQ,N510MQ,3731,ORD,"Chicago, IL",IL,MSP,"Minneapolis, MN",MN,2230.0,2345.0,75.0,334.0,64.0,LateAircraftDelay
4,2019-04-11,B6,N630JB,87,ALB,"Albany, NY",NY,FLL,"Fort Lauderdale, FL",FL,1711.0,2028.0,197.0,1204.0,-17.0,
3,2017-05-10,AA,N758AA,1647,MIA,"Miami, FL",FL,IAH,"Houston, TX",TX,836.0,1031.0,175.0,964.0,-6.0,
6,2019-04-06,F9,N339FR,1106,LFT,"Lafayette, LA",LA,MCO,"Orlando, FL",FL,1137.0,1439.0,122.0,656.0,-24.0,
1,2012-05-07,OO,N978SW,6407,DEN,"Denver, CO",CO,CPR,"Casper, WY",WY,802.0,909.0,67.0,230.0,-16.0,
7,2018-05-20,OH,N259PS,5487,LGA,"New York, NY",NY,DAY,"Dayton, OH",OH,1828.0,2030.0,122.0,549.0,48.0,LateAircraftDelay
3,2019-04-17,MQ,N668HH,3965,CHA,"Chattanooga, TN",TN,ORD,"Chicago, IL",IL,1826.0,1929.0,123.0,500.0,-9.0,
5,2016-08-26,UA,N69847,1791,IAH,"Houston, TX",TX,LAX,"Los Angeles, CA",CA,1918.0,2054.0,216.0,1379.0,32.0,WeatherDelay
7,2015-07-19,WN,N7815L,224,SMF,"Sacramento, CA",CA,BUR,"Burbank, CA",CA,2020.0,2130.0,70.0,358.0,-5.0,
6,2013-10-05,YV,N513MJ,3739,CLT,"Charlotte, NC",NC,IAD,"Washington, DC",VA,1442.0,1613.0,91.0,322.0,16.0,NASDelay
5,2010-06-18,WN,N616SW,1098,MCO,"Orlando, FL",FL,BNA,"Nashville, TN",TN,1455.0,1550.0,115.0,616.0,20.0,WeatherDelay
4,2011-08-25,EV,N903EV,5279,TUL,"Tulsa, OK",OK,MEM,"Memphis, TN",TN,1200.0,1318.0,78.0,342.0,-13.0,
4,2011-08-25,AA,N3BXAA,1487,ORD,"Chicago, IL",IL,RNO,"Reno, NV",NV,1020.0,1220.0,240.0,1671.0,57.0,LateAircraftDelay
1,2017-05-29,VX,N635VA,801,SFO,"San Francisco, CA",CA,PSP,"Palm Springs, CA",CA,1425.0,1546.0,81.0,421.0,48.0,LateAircraftDelay
1,2010-05-03,DL,N301NB,2453,LGA,"New York, NY",NY,TPA,"Tampa, FL",FL,1715.0,2012.0,177.0,1011.0,136.0,LateAircraftDelay
1,2011-10-10,WN,N465WN,1435,MHT,"Manchester, NH",NH,MDW,"Chicago, IL",IL,1335.0,1505.0,150.0,838.0,-12.0,
5,2012-12-14,WN,N511SW,3303,AUS,"Austin, TX",TX,HOU,"Houston, TX",TX,1130.0,1220.0,50.0,148.0,-3.0,
6,2013-11-16,9E,N8745B,3984,MSP,"Minneapolis, MN",MN,FWA,"Fort Wayne, IN",IN,1915.0,2144.0,89.0,488.0,-8.0,
2,2018-07-17,DL,N948DL,1777,ORD,"Chicago, IL",IL,ATL,"Atlanta, GA",GA,1947.0,2255.0,128.0,606.0,29.0,LateAircraftDelay
7,2015-10-18,WN,N787SA,2986,DEN,"Denver, CO",CO,LAX,"Los Angeles, CA",CA,925.0,1055.0,150.0,862.0,0.0,
3,2012-07-11,AS,N532AS,332,SEA,"Seattle, WA",WA,SJC,"San Jose, CA",CA,1710.0,1914.0,124.0,697.0,-6.0,
7,2010-07-18,MQ,N628MQ,4140,ORD,"Chicago, IL",IL,MCI,"Kansas City, MO",MO,1150.0,1310.0,80.0,403.0,39.0,NASDelay
6,2014-11-29,OO,N906SW,6599,GJT,"Grand Junction, CO",CO,PHX,"Phoenix, AZ",AZ,1215.0,1347.0,92.0,438.0,-7.0,
2,2015-09-29,WN,N229WN,548,MDW,"Chicago, IL",IL,LGA,"New York, NY",NY,1310.0,1615.0,125.0,725.0,25.0,NASDelay
1,2015-08-24,EV,N197PQ,5082,ATL,"Atlanta, GA",GA,BMI,"Bloomington/Normal, IL",IL,1025.0,1106.0,101.0,533.0,-13.0,
5,2012-01-13,EV,N16981,4164,BTV,"Burlington, VT",VT,EWR,"Newark, NJ",NJ,1545.0,1708.0,83.0,266.0,60.0,WeatherDelay
1,2014-10-06,OO,N752SK,5593,LAX,"Los Angeles, CA",CA,MSP,"Minneapolis, MN",MN,1821.0,2359.0,218.0,1535.0,30.0,LateAircraftDelay
7,2010-03-21,CO,N75851,1495,IAH,"Houston, TX",TX,LAX,"Los Angeles, CA",CA,930.0,1101.0,211.0,1379.0,34.0,NASDelay
2,2017-04-04,B6,N640JB,1521,PDX,"Portland, OR",OR,LGB,"Long Beach, CA",CA,1353.0,1608.0,135.0,846.0,206.0,LateAircraftDelay
1,2016-10-24,DL,N6700,886,ATL,"Atlanta, GA",GA,MIA,"Miami, FL",FL,2220.0,20.0,120.0,594.0,-20.0,
3,2017-10-11,AA,N944AA,2009,PHL,"Philadelphia, PA",PA,RDU,"Raleigh/Durham, NC",NC,845.0,1016.0,91.0,337.0,-3.0,
4,2017-05-25,OO,N939SW,5126,MRY,"Monterey, CA",CA,LAX,"Los Angeles, CA",CA,2049.0,2211.0,82.0,266.0,47.0,NASDelay
7,2019-04-14,EV,N17159,4391,EWR,"Newark, NJ",NJ,STL,"St. Louis, MO",MO,1400.0,1553.0,173.0,872.0,38.0,CarrierDelay
3,2016-10-26,OO,N708SK,3096,ORD,"Chicago, IL",IL,SAT,"San Antonio, TX",TX,1155.0,1440.0,165.0,1041.0,109.0,WeatherDelay
5,2011-02-25,XE,N13538,2577,CHS,"Charleston, SC",SC,IAH,"Houston, TX",TX,1733.0,1917.0,164.0,925.0,-7.0,
5,2014-05-16,FL,N309AT,427,LAS,"Las Vegas, NV",NV,SNA,"Santa Ana, CA",CA,925.0,1030.0,65.0,226.0,-12.0,
2,2017-09-05,WN,N558WN,2002,PVD,"Providence, RI",RI,BWI,"Baltimore, MD",MD,1750.0,1905.0,75.0,327.0,136.0,WeatherDelay
1,2016-09-19,EV,N671AE,2861,DFW,"Dallas/Fort Worth, TX",TX,VPS,"Valparaiso, FL",FL,705.0,902.0,117.0,641.0,-13.0,
4,2012-12-27,EV,N676CA,5258,CHS,"Charleston, SC",SC,ATL,"Atlanta, GA",GA,1826.0,1946.0,80.0,259.0,24.0,LateAircraftDelay
5,2015-05-15,DL,N940DL,1199,STL,"St. Louis, MO",MO,ATL,"Atlanta, GA",GA,1705.0,1943.0,98.0,484.0,-9.0,
5,2016-07-08,B6,N231JB,390,DCA,"Washington, DC",VA,BOS,"Boston, MA",MA,1054.0,1221.0,87.0,399.0,-2.0,
6,2019-03-02,AA,N301NW,1346,MSP,"Minneapolis, MN",MN,PHX,"Phoenix, AZ",AZ,500.0,745.0,225.0,1276.0,105.0,CarrierDelay
3,2015-07-01,WN,N514SW,109,DAL,"Dallas, TX",TX,OKC,"Oklahoma City, OK",OK,1405.0,1455.0,50.0,181.0,34.0,LateAircraftDelay
3,2010-10-13,FL,N353AT,509,MKE,"Milwaukee, WI",WI,LGA,"New York, NY",NY,1455.0,1803.0,128.0,738.0,-7.0,
4,2011-03-03,DL,N668DN,1055,DTW,"Detroit, MI",MI,MSP,"Minneapolis, MN",MN,1945.0,2046.0,121.0,528.0,17.0,NASDelay
3,2011-03-23,EV,N922EV,5337,ATL,"Atlanta, GA",GA,DHN,"Dothan, AL",AL,1350.0,1342.0,52.0,171.0,-5.0,
6,2018-02-24,AA,N381AN,2686,DFW,"Dallas/Fort Worth, TX",TX,MIA,"Miami, FL",FL,1025.0,1407.0,162.0,1121.0,149.0,WeatherDelay
5,2019-04-05,DL,N866DN,2825,CMH,"Columbus, OH",OH,MSP,"Minneapolis, MN",MN,640.0,748.0,128.0,626.0,-10.0,
1,2016-09-19,UA,N37471,564,MCO,"Orlando, FL",FL,LAX,"Los Angeles, CA",CA,1737.0,1955.0,318.0,2218.0,147.0,WeatherDelay
1,2019-06-17,DL,N680DA,1855,TPA,"Tampa, FL",FL,ATL,"Atlanta, GA",GA,625.0,802.0,97.0,406.0,-7.0,
7,2012-06-24,UA,N521UA,717,BOS,"Boston, MA",MA,LAX,"Los Angeles, CA",CA,1816.0,2134.0,378.0,2611.0,37.0,NASDelay
1,2012-11-12,MQ,N808MQ,4446,DCA,"Washington, DC",VA,JFK,"New York, NY",NY,620.0,730.0,70.0,213.0,275.0,NASDelay
1,2011-09-12,XE,N11176,5995,BIS,"Bismarck/Mandan, ND",ND,ORD,"Chicago, IL",IL,1437.0,1642.0,125.0,716.0,41.0,NASDelay
2,2014-08-05,US,N102UW,650,MCO,"Orlando, FL",FL,PHL,"Philadelphia, PA",PA,1655.0,1920.0,145.0,861.0,-9.0,
3,2011-11-02,EV,N936EV,5433,CHA,"Chattanooga, TN",TN,DTW,"Detroit, MI",MI,1852.0,2047.0,115.0,505.0,-16.0,
6,2012-09-01,WN,N473WN,1924,PIT,"Pittsburgh, PA",PA,LAS,"Las Vegas, NV",NV,1645.0,1825.0,280.0,1910.0,214.0,WeatherDelay
3,2012-07-04,EV,N707EV,5392,ATL,"Atlanta, GA",GA,FNT,"Flint, MI",MI,1500.0,1651.0,111.0,645.0,147.0,CarrierDelay
6,2012-05-19,EV,N16183,6165,AMA,"Amarillo, TX",TX,DEN,"Denver, CO",CO,845.0,906.0,81.0,359.0,19.0,NASDelay
2,2016-04-26,OO,N452SW,7381,COD,"Cody, WY",WY,SLC,"Salt Lake City, UT",UT,1255.0,1410.0,75.0,298.0,25.0,LateAircraftDelay
4,2014-03-06,DL,N306DQ,1842,JAN,"Jackson/Vicksburg, MS",MS,ATL,"Atlanta, GA",GA,1724.0,1954.0,90.0,341.0,50.0,WeatherDelay
6,2015-01-03,EV,N13202,4714,EWR,"Newark, NJ",NJ,CLT,"Charlotte, NC",NC,1007.0,1214.0,127.0,529.0,-1.0,
3,2017-04-12,WN,N779SW,1249,MKE,"Milwaukee, WI",WI,STL,"St. Louis, MO",MO,1130.0,1245.0,75.0,317.0,-14.0,
1,2017-09-25,F9,N309FR,1778,MCO,"Orlando, FL",FL,ISP,"Islip, NY",NY,715.0,955.0,160.0,971.0,28.0,CarrierDelay
5,2018-10-12,DL,N893DN,1847,SFO,"San Francisco, CA",CA,MSP,"Minneapolis, MN",MN,610.0,1156.0,226.0,1589.0,-1.0,
3,2015-06-17,HA,N488HA,556,HNL,"Honolulu, HI",HI,OGG,"Kahului, HI",HI,2007.0,2043.0,36.0,100.0,-5.0,
5,2012-06-08,EV,N11536,4426,AMA,"Amarillo, TX",TX,IAH,"Houston, TX",TX,1057.0,1237.0,100.0,517.0,109.0,LateAircraftDelay
1,2019-11-25,WN,N8317M,1476,ELP,"El Paso, TX",TX,DEN,"Denver, CO",CO,1240.0,1425.0,105.0,563.0,27.0,LateAircraftDelay
1,2011-02-14,FL,N996AT,199,DCA,"Washington, DC",VA,ATL,"Atlanta, GA",GA,1448.0,1644.0,116.0,547.0,-15.0,
2,2018-08-21,DL,N675DL,2335,RSW,"Fort Myers, FL",FL,ATL,"Atlanta, GA",GA,1250.0,1435.0,105.0,515.0,-4.0,
7,2014-07-13,OO,N752SK,5258,SNA,"Santa Ana, CA",CA,SFO,"San Francisco, CA",CA,1906.0,2031.0,85.0,372.0,18.0,NASDelay
2,2017-10-17,UA,N15710,700,BOS,"Boston, MA",MA,EWR,"Newark, NJ",NJ,820.0,940.0,80.0,200.0,-19.0,
1,2017-10-16,AA,N4YUAA,1286,OMA,"Omaha, NE",NE,DFW,"Dallas/Fort Worth, TX",TX,1515.0,1710.0,115.0,583.0,-14.0,
3,2015-02-25,WN,N791SW,4036,LAX,"Los Angeles, CA",CA,BNA,"Nashville, TN",TN,740.0,1335.0,235.0,1797.0,-22.0,
3,2010-08-11,DL,N594NW,1193,MSP,"Minneapolis, MN",MN,ATL,"Atlanta, GA",GA,1705.0,2045.0,160.0,906.0,25.0,NASDelay
1,2011-04-25,DL,N766NC,897,DTW,"Detroit, MI",MI,CLT,"Charlotte, NC",NC,1017.0,1210.0,113.0,500.0,27.0,CarrierDelay
3,2016-07-06,AA,N717UW,525,CLT,"Charlotte, NC",NC,FLL,"Fort Lauderdale, FL",FL,740.0,938.0,118.0,632.0,-15.0,
3,2011-11-23,AA,N3FNAA,1682,ORD,"Chicago, IL",IL,MIA,"Miami, FL",FL,1400.0,1805.0,185.0,1197.0,-11.0,
3,2011-05-11,UA,N474UA,565,ORD,"Chicago, IL",IL,MSY,"New Orleans, LA",LA,1504.0,1716.0,132.0,837.0,65.0,CarrierDelay
4,2017-05-04,AA,N918AA,1998,CLT,"Charlotte, NC",NC,BWI,"Baltimore, MD",MD,2240.0,2.0,82.0,361.0,-11.0,
3,2019-10-02,9E,N8869B,3446,BGR,"Bangor, ME",ME,LGA,"New York, NY",NY,1130.0,1311.0,101.0,378.0,-8.0,
7,2018-03-11,G4,251NV,1689,DSM,"Des Moines, IA",IA,PGD,"Punta Gorda, FL",FL,953.0,1341.0,168.0,1206.0,23.0,NASDelay
1,2016-08-29,AA,N575UW,437,ORD,"Chicago, IL",IL,PHL,"Philadelphia, PA",PA,2040.0,2340.0,120.0,678.0,149.0,CarrierDelay
3,2018-06-06,WN,N8625A,1768,STL,"St. Louis, MO",MO,DEN,"Denver, CO",CO,1610.0,1730.0,140.0,770.0,-26.0,
3,2017-05-10,WN,N8655D,1845,OKC,"Oklahoma City, OK",OK,HOU,"Houston, TX",TX,1450.0,1615.0,85.0,419.0,16.0,LateAircraftDelay
1,2017-01-02,DL,N896AT,2462,ORD,"Chicago, IL",IL,ATL,"Atlanta, GA",GA,1930.0,2234.0,124.0,606.0,51.0,LateAircraftDelay
7,2015-05-17,UA,N455UA,499,LAS,"Las Vegas, NV",NV,IAH,"Houston, TX",TX,1805.0,2257.0,172.0,1222.0,72.0,LateAircraftDelay
3,2011-09-07,AA,N4XHAA,2048,BWI,"Baltimore, MD",MD,DFW,"Dallas/Fort Worth, TX",TX,1310.0,1525.0,195.0,1217.0,56.0,WeatherDelay
4,2019-04-18,DL,N916DE,1925,DAB,"Daytona Beach, FL",FL,ATL,"Atlanta, GA",GA,1759.0,1929.0,90.0,366.0,55.0,LateAircraftDelay
7,2012-07-29,MQ,N661MQ,3998,DAY,"Dayton, OH",OH,ORD,"Chicago, IL",IL,2000.0,2010.0,70.0,240.0,-13.0,
5,2016-02-05,DL,N827DN,2843,PHX,"Phoenix, AZ",AZ,ATL,"Atlanta, GA",GA,825.0,1359.0,214.0,1587.0,-21.0,
7,2018-04-22,OO,N881AS,4208,PIH,"Pocatello, ID",ID,SLC,"Salt Lake City, UT",UT,1520.0,1620.0,60.0,150.0,-15.0,
5,2016-12-30,NK,N671NK,425,ORD,"Chicago, IL",IL,FLL,"Fort Lauderdale, FL",FL,1815.0,2217.0,182.0,1182.0,-25.0,
5,2015-04-03,UA,N13716,1119,LAS,"Las Vegas, NV",NV,DEN,"Denver, CO",CO,605.0,903.0,118.0,628.0,-27.0,
3,2010-09-22,UA,N444UA,731,EWR,"Newark, NJ",NJ,DEN,"Denver, CO",CO,1003.0,1212.0,249.0,1605.0,-12.0,
4,2012-04-05,WN,N292WN,786,MDW,"Chicago, IL",IL,PHX,"Phoenix, AZ",AZ,2130.0,2315.0,225.0,1444.0,-3.0,
4,2013-04-18,AA,N576AA,1648,TUS,"Tucson, AZ",AZ,DFW,"Dallas/Fort Worth, TX",TX,905.0,1315.0,130.0,813.0,121.0,CarrierDelay
3,2011-08-17,AS,N317AS,220,SEA,"Seattle, WA",WA,SFO,"San Francisco, CA",CA,730.0,942.0,132.0,679.0,88.0,NASDelay
1,2016-02-08,OO,N906SW,2955,MRY,"Monterey, CA",CA,PHX,"Phoenix, AZ",AZ,1610.0,1902.0,112.0,598.0,18.0,LateAircraftDelay
2,2013-01-15,WN,N645SW,501,SMF,"Sacramento, CA",CA,LAS,"Las Vegas, NV",NV,1250.0,1410.0,80.0,397.0,-6.0,
3,2019-01-23,B6,N509JB,2404,LGB,"Long Beach, CA",CA,BOS,"Boston, MA",MA,1015.0,1834.0,319.0,2602.0,23.0,NASDelay
3,2013-06-12,UA,N38257,1278,IAD,"Washington, DC",VA,DEN,"Denver, CO",CO,1505.0,1654.0,229.0,1452.0,-6.0,
4,2018-09-27,OO,N718SK,3036,BNA,"Nashville, TN",TN,ORD,"Chicago, IL",IL,500.0,643.0,103.0,409.0,-25.0,
6,2011-07-23,CO,N16617,1831,IAH,"Houston, TX",TX,ONT,"Ontario, CA",CA,940.0,1051.0,191.0,1334.0,24.0,WeatherDelay
1,2017-10-09,DL,N324DX,104,ATL,"Atlanta, GA",GA,BOS,"Boston, MA",MA,736.0,1010.0,154.0,946.0,-6.0,
4,2013-03-14,MQ,N737MQ,3306,CLL,"College Station/Bryan, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,1510.0,1600.0,50.0,164.0,-4.0,
7,2016-11-13,WN,N8691A,3867,DAL,"Dallas, TX",TX,BWI,"Baltimore, MD",MD,1540.0,1925.0,165.0,1209.0,-8.0,
4,2015-09-24,WN,N784SW,2988,DAL,"Dallas, TX",TX,DEN,"Denver, CO",CO,1325.0,1430.0,125.0,651.0,-18.0,
4,2010-12-16,DL,N372DA,2770,MEM,"Memphis, TN",TN,MSP,"Minneapolis, MN",MN,1605.0,1814.0,129.0,700.0,-5.0,
4,2010-09-16,DL,N380DA,1250,MCI,"Kansas City, MO",MO,ATL,"Atlanta, GA",GA,1453.0,1754.0,121.0,692.0,-12.0,
3,2010-05-26,OO,N217SW,6060,DEN,"Denver, CO",CO,GCC,"Gillette, WY",WY,1844.0,2005.0,81.0,313.0,30.0,NASDelay
3,2013-06-12,DL,N932DL,1694,MKE,"Milwaukee, WI",WI,DTW,"Detroit, MI",MI,1645.0,1856.0,71.0,237.0,25.0,NASDelay
1,2018-10-15,WN,N278WN,2180,TUL,"Tulsa, OK",OK,LAS,"Las Vegas, NV",NV,1220.0,1310.0,170.0,1076.0,39.0,LateAircraftDelay
2,2016-01-19,OO,N813SK,4842,MSP,"Minneapolis, MN",MN,DLH,"Duluth, MN",MN,2212.0,2315.0,63.0,144.0,105.0,CarrierDelay
1,2013-01-28,UA,N823UA,864,SFO,"San Francisco, CA",CA,PHL,"Philadelphia, PA",PA,859.0,1721.0,322.0,2521.0,50.0,NASDelay
2,2011-09-13,WN,N634SW,1056,LAS,"Las Vegas, NV",NV,SMF,"Sacramento, CA",CA,1545.0,1715.0,90.0,397.0,27.0,LateAircraftDelay
5,2019-09-06,WN,N742SW,185,PHX,"Phoenix, AZ",AZ,MDW,"Chicago, IL",IL,1740.0,2250.0,190.0,1444.0,50.0,CarrierDelay
2,2015-08-18,AA,N3KGAA,2464,MCO,"Orlando, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,1602.0,1750.0,168.0,985.0,87.0,CarrierDelay
2,2015-09-29,UA,N27239,1136,EWR,"Newark, NJ",NJ,DEN,"Denver, CO",CO,1644.0,1915.0,271.0,1605.0,-19.0,
7,2015-02-08,AA,N5BYAA,1412,DFW,"Dallas/Fort Worth, TX",TX,MIA,"Miami, FL",FL,1350.0,1732.0,162.0,1121.0,88.0,LateAircraftDelay
5,2014-06-27,US,N715UW,784,FLL,"Fort Lauderdale, FL",FL,PHL,"Philadelphia, PA",PA,1535.0,1826.0,171.0,992.0,-12.0,
3,2013-12-18,OO,N579SW,6212,SFO,"San Francisco, CA",CA,ACV,"Arcata/Eureka, CA",CA,1516.0,1642.0,86.0,250.0,-6.0,
2,2018-10-09,WN,N7859B,126,ATL,"Atlanta, GA",GA,MKE,"Milwaukee, WI",WI,835.0,940.0,125.0,669.0,-5.0,
5,2013-02-08,WN,N909WN,590,SFO,"San Francisco, CA",CA,SNA,"Santa Ana, CA",CA,1230.0,1355.0,85.0,372.0,17.0,LateAircraftDelay
6,2017-12-16,AS,N644AS,545,ONT,"Ontario, CA",CA,SEA,"Seattle, WA",WA,600.0,849.0,169.0,956.0,25.0,NASDelay
4,2018-08-23,NK,N650NK,141,BWI,"Baltimore, MD",MD,LAX,"Los Angeles, CA",CA,910.0,1139.0,329.0,2329.0,19.0,NASDelay
5,2011-06-10,EV,N972EV,5559,FAY,"Fayetteville, NC",NC,ATL,"Atlanta, GA",GA,715.0,839.0,84.0,331.0,276.0,WeatherDelay
5,2018-10-26,AA,N995AN,1205,DFW,"Dallas/Fort Worth, TX",TX,AUS,"Austin, TX",TX,2250.0,2349.0,59.0,190.0,-11.0,
5,2012-07-06,B6,N304JB,1211,BOS,"Boston, MA",MA,BUF,"Buffalo, NY",NY,759.0,927.0,88.0,395.0,-4.0,
5,2017-04-28,WN,N468WN,964,OAK,"Oakland, CA",CA,PHX,"Phoenix, AZ",AZ,815.0,1005.0,110.0,646.0,-15.0,
7,2019-12-01,WN,N285WN,3145,RSW,"Fort Myers, FL",FL,BDL,"Hartford, CT",CT,2150.0,35.0,165.0,1180.0,47.0,WeatherDelay
2,2012-09-11,WN,N912WN,3051,TUL,"Tulsa, OK",OK,DEN,"Denver, CO",CO,910.0,955.0,105.0,541.0,-13.0,
4,2016-01-14,DL,N819DN,2258,ATL,"Atlanta, GA",GA,SMF,"Sacramento, CA",CA,1950.0,2207.0,317.0,2092.0,-14.0,
4,2012-07-12,UA,N844UA,762,ORD,"Chicago, IL",IL,BOS,"Boston, MA",MA,807.0,1126.0,139.0,867.0,68.0,CarrierDelay
7,2017-12-03,DL,N398DA,791,SEA,"Seattle, WA",WA,ANC,"Anchorage, AK",AK,2115.0,6.0,231.0,1448.0,-10.0,
1,2019-01-28,AA,N842NN,30,ORD,"Chicago, IL",IL,LGA,"New York, NY",NY,1630.0,1936.0,126.0,733.0,241.0,LateAircraftDelay
1,2017-04-17,DL,N971DL,1307,RIC,"Richmond, VA",VA,ATL,"Atlanta, GA",GA,1759.0,1953.0,114.0,481.0,24.0,NASDelay
